t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays
5000,714,21,3,62,1,10,3,3,1,0,9,3,118,19,61,6,33,0,14
10000,542,60,6,192,7,30,3.714,6,6,2.522,38,5,108,71,243,16,104,0,88
15000,301,106,8,385,22,50,3,6,12,3.3,86,7,89,163,520,34,232,0,228
20000,130,166,10,494,16,75,2.938,5,9,2.781,151,7,70,274,815,49,376,0,444
25000,89,180,12,519,27,71,2.889,6,10,2.87,214,10,77,361,1057,60,495,0,699
30000,71,179,11,539,17,74,2.588,5,6,2.257,265,11,63,446,1272,69,598,0,934
35000,67,186,20,527,23,72,2.739,5,9,2.642,309,11,65,508,1441,77,692,0,1145
40000,72,203,20,505,16,74,2.5,4,6,2.281,352,12,61,584,1622,84,793,0,1378
45000,59,200,12,529,22,76,2.455,5,9,2.698,399,13,66,675,1815,90,878,0,1592
50000,94,194,11,501,17,66,2.471,4,7,2.542,451,14,60,759,2026,98,957,0,1835
55000,58,215,10,517,17,66,2.647,6,9,2.722,494,15,65,837,2243,105,1038,0,2038
60000,56,218,10,516,12,63,2.417,4,6,2.418,518,15,72,904,2385,107,1115,0,2211
65000,50,218,14,518,15,61,2.6,6,7,2.466,543,17,79,952,2520,112,1183,0,2373
70000,35,211,2,552,11,70,2.727,4,7,2.664,574,17,77,1015,2679,117,1239,0,2540
75000,57,210,8,525,9,69,2.889,7,5,1.88,600,18,76,1064,2800,120,1317,0,2725
80000,49,215,7,529,10,68,2.5,3,7,2.522,621,19,79,1111,2940,125,1373,0,2879
