t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,391,2,0,7,0,1,5,5,1,0,1,1,300,4,5,0,1,0,0,0,0,2,0
10000,392,2,0,6,0,1,5,5,1,0,1,1,300,4,5,0,1,0,1,0,0,2,0
15000,394,2,0,4,0,2,2,2,2,1,1,1,300,7,9,0,1,2,4,0,0,5,0
20000,395,1,0,4,1,1,2,2,2,1,5,2,300,12,14,0,2,2,7,0,0,5,0
25000,388,2,0,10,3,2,2,2,2,0.971,8,3,296,18,21,0,2,2,7,0,0,5,0
30000,377,7,0,16,1,7,2,2,1,0,17,3,298,36,47,1,2,2,11,0,0,7,0
35000,340,15,2,43,8,14,2.045,3,3,0.7,40,6,292,81,104,3,3,2,19,0,0,8,0
40000,345,18,1,36,2,16,2.056,3,2,0.31,60,7,298,122,164,4,4,2,36,0,0,16,0
45000,287,31,6,76,10,31,2,2,2,0.461,105,10,294,205,281,7,5,2,51,0,0,24,0
50000,262,41,1,96,7,40,2.043,3,4,1.065,150,12,292,299,409,9,7,3,74,0,0,40,0
55000,225,45,4,126,19,44,2.048,3,4,1.007,227,13,284,446,605,16,11,4,107,0,0,72,0
60000,202,52,3,143,20,52,2.014,3,3,0.951,307,18,287,602,813,23,13,4,158,0,0,96,0
65000,195,56,1,148,19,55,2.014,3,3,0.919,380,20,287,745,1004,29,18,5,196,0,0,133,0
70000,217,53,4,126,10,52,2.032,3,4,1.07,449,21,288,878,1190,44,21,6,242,0,0,168,0
75000,220,50,4,126,15,49,2.016,3,3,0.986,528,22,283,1025,1392,50,26,6,290,0,0,201,0
80000,230,43,6,121,20,42,2.032,3,4,0.996,603,23,284,1169,1583,53,29,7,332,0,0,238,0
85000,227,43,4,126,20,41,2.098,3,6,1.335,667,25,290,1299,1751,56,32,7,369,0,0,267,0
90000,226,45,7,122,18,42,2.133,3,5,1.284,733,28,289,1427,1927,64,40,9,409,0,0,302,0
95000,247,45,3,105,8,43,2.078,3,5,0.996,782,30,294,1526,2067,72,43,10,443,0,0,334,0
100000,230,47,1,122,13,47,2.033,3,3,0.675,828,30,292,1617,2192,80,46,10,474,0,0,348,0
