t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,124,21,169,198,62,17,4.127,8,26,4.118,113,4,0,239,7300,87,45,0,55,126,39,6826,21,0,0,0,0,0,0,0,0,0,0,0
40000,95,32,116,268,46,24,4.757,8,31,4.593,192,5,0,500,16739,188,87,0,168,381,84,15911,25,0,0,0,0,0,0,0,0,0,0,0
60000,86,19,101,306,59,17,4.842,9,40,5.087,267,8,1,766,25837,312,122,0,269,660,131,24652,25,0,0,0,0,0,0,0,0,0,0,0
80000,55,23,124,310,56,20,5.224,9,43,5.118,336,9,2,994,35011,423,150,0,362,932,164,33455,25,0,0,0,0,0,0,0,0,0,0,0
100000,97,40,96,279,47,28,4.493,10,33,4.557,413,10,0,1266,44039,550,165,0,483,1269,215,42081,27,0,0,0,0,0,0,0,0,0,0,0
120000,80,26,111,295,65,22,4.103,10,33,4.464,500,11,2,1515,53463,672,185,0,581,1538,258,51134,27,0,0,0,0,0,0,0,0,0,0,0
140000,85,28,142,257,74,19,3.871,10,32,4.497,612,11,0,1780,63890,815,222,0,717,1872,298,61146,37,0,0,0,0,0,0,0,0,0,0,0
160000,80,27,99,306,62,21,4.277,10,35,4.776,690,11,0,2032,72663,927,256,0,831,2114,338,69595,39,0,0,0,0,0,0,0,0,0,0,0
180000,67,30,72,343,55,25,4.563,9,36,4.706,758,12,2,2274,81607,1033,286,0,931,2346,378,78221,40,0,0,0,0,0,0,0,0,0,0,0
200000,60,23,77,352,67,19,4.477,9,39,4.758,839,13,1,2517,92075,1146,319,0,1048,2601,432,88346,42,0,0,0,0,0,0,0,0,0,0,0
220000,42,24,79,367,68,22,4.433,10,32,4.406,917,15,1,2778,100454,1243,347,0,1144,2862,478,96377,43,0,0,0,0,0,0,0,0,0,0,0
240000,73,30,80,329,53,27,4.5,11,29,4.464,989,15,4,3020,109366,1353,368,0,1259,3124,510,104966,44,0,0,0,0,0,0,0,0,0,0,0
260000,68,24,68,352,60,20,4.662,11,34,4.638,1067,16,1,3284,118732,1466,383,0,1360,3392,569,113968,45,0,0,0,0,0,0,0,0,0,0,0
280000,52,25,79,356,67,21,4.466,10,33,4.601,1146,17,1,3529,127420,1585,401,0,1461,3657,614,122298,49,0,0,0,0,0,0,0,0,0,0,0
300000,73,23,92,324,73,22,3.874,8,36,4.28,1239,18,0,3785,137542,1708,433,0,1579,3983,676,132029,52,0,0,0,0,0,0,0,0,0,0,0
320000,85,26,98,303,66,20,4.279,11,33,4.554,1321,20,1,4019,147420,1822,462,0,1690,4253,707,141564,54,0,0,0,0,0,0,0,0,0,0,0
340000,85,24,92,311,62,21,4.446,8,36,4.532,1397,21,1,4260,156816,1945,492,0,1796,4525,767,150614,55,0,0,0,0,0,0,0,0,0,0,0
360000,105,24,92,291,49,22,4.69,9,36,4.661,1464,23,3,4501,166160,2055,516,0,1910,4839,814,159573,55,0,0,0,0,0,0,0,0,0,0,0
380000,55,22,100,335,61,17,5.064,10,38,4.856,1532,23,0,4743,174576,2165,541,0,2004,5065,858,167638,55,0,0,0,0,0,0,0,0,0,0,0
400000,72,27,96,317,50,24,4.905,10,35,4.642,1599,23,2,4977,183993,2283,561,0,2103,5366,913,176690,56,0,0,0,0,0,0,0,0,0,0,0
420000,55,23,114,320,66,20,4.395,9,36,4.687,1675,25,1,5213,192825,2392,584,0,2205,5651,970,185141,57,0,0,0,0,0,0,0,0,0,0,0
440000,85,28,105,294,53,23,4.776,9,34,4.74,1749,26,0,5433,201910,2487,616,0,2320,5950,1001,193873,60,0,0,0,0,0,0,0,0,0,0,0
460000,77,33,75,327,51,24,4.76,10,35,4.767,1821,27,1,5707,210694,2607,644,0,2433,6238,1065,202272,60,0,0,0,0,0,0,0,0,0,0,0
480000,65,24,91,332,64,18,4.585,12,34,4.793,1898,30,0,5956,219589,2718,664,0,2528,6498,1099,210815,61,0,0,0,0,0,0,0,0,0,0,0
500000,76,40,97,299,43,25,5.118,11,33,4.788,1972,30,1,6180,228129,2829,692,0,2646,6799,1150,218973,61,0,0,0,0,0,0,0,0,0,0,0
520000,58,24,114,316,56,21,5,11,33,4.603,2048,31,0,6427,236393,2944,712,0,2747,7054,1204,226880,62,0,0,0,0,0,0,0,0,0,0,0
540000,65,24,79,344,64,18,4.634,11,33,4.525,2119,32,1,6668,244641,3039,742,0,2843,7318,1253,234801,63,0,0,0,0,0,0,0,0,0,0,0
560000,73,24,78,337,59,18,4.987,11,41,4.998,2196,32,3,6906,253524,3165,765,0,2948,7598,1318,243333,65,0,0,0,0,0,0,0,0,0,0,0
580000,69,25,74,344,58,18,4.908,9,33,4.611,2269,34,1,7175,261759,3258,789,0,3056,7868,1372,251203,65,0,0,0,0,0,0,0,0,0,0,0
600000,52,25,62,373,58,22,4.85,9,35,4.792,2330,35,2,7401,269956,3360,809,0,3148,8094,1418,259084,66,0,0,0,0,0,0,0,0,0,0,0
620000,58,28,71,355,67,22,4.281,9,34,4.665,2408,36,4,7657,278999,3463,835,0,3244,8373,1479,267781,68,0,0,0,0,0,0,0,0,0,0,0
640000,74,26,106,306,65,20,4.4,9,31,4.58,2491,37,1,7885,289102,3592,868,0,3372,8654,1523,277519,69,0,0,0,0,0,0,0,0,0,0,0
